"地方","振興局","地点番号","観測所名","よみがな","ローマ字表記","所在地"
"北海道","宗谷","11001","宗谷岬","そうやみさき","SOYAMISAKI","(cid:9974)内市宗谷岬"
"北海道","宗谷","11016","(cid:9974)内","わっかない","WAKKANAI","(cid:9974)内市(cid:14052)(cid:13344)　(cid:9974)内地方気象台"
"北海道","宗谷","11046","(cid:9833)文","れぶん","REBUN","(cid:9833)文(cid:13446)(cid:9833)文町大字香(cid:8157)村字トンナイ"
"北海道","宗谷","11076","(cid:8062)(cid:14883)志別","はまおにしべつ","HAMAONISHIBETSU","宗谷(cid:13446)(cid:8887)払村(cid:8062)(cid:14883)志別"
"北海道","宗谷","11121","(cid:7967)川","ぬまかわ","NUMAKAWA","(cid:9974)内市声問村字(cid:7967)川"
"北海道","宗谷","11151","(cid:7941)形","くつがた","KUTSUGATA","利尻(cid:13446)利尻町(cid:7941)形(cid:7976)町"
"北海道","宗谷","11176","(cid:12751)富","とよとみ","TOYOTOMI","天塩(cid:13446)(cid:12751)富町字(cid:12751)富東2条"
"北海道","宗谷","11206","(cid:8062)(cid:14459)別","はまとんべつ","HAMATOMBETSU","枝幸(cid:13446)(cid:8062)(cid:14459)別町クッチャロ(cid:8224)(cid:9217)"
"北海道","宗谷","11276","中(cid:14459)別","なかとんべつ","NAKATOMBETSU","枝幸(cid:13446)中(cid:14459)別町上(cid:14678)"
"北海道","宗谷","11291","北(cid:12386)枝幸","きたみえさし","KITAMI-ESASHI","枝幸(cid:13446)枝幸町本町　北(cid:12386)枝幸特別地域気象観測所"
"北海道","宗谷","11316","歌(cid:9423)","うたのぼり","UTANOBORI","枝幸(cid:13446)枝幸町歌(cid:9423)東町"
"北海道","上川","12011","中川","なかがわ","NAKAGAWA","中川(cid:13446)中川町中川"
"北海道","上川","12041","(cid:14434)威子府","おといねっぷ","OTOINEPPU","中川(cid:13446)(cid:14434)威子府村(cid:14434)威子府"
"北海道","上川","12141","(cid:10814)(cid:8157)","びふか","BIFUKA","中川(cid:13446)(cid:10814)(cid:8157)町(cid:12377)町"
"北海道","上川","12181","名寄","なよろ","NAYORO","名寄市大(cid:7595)"
"北海道","上川","12231","下川","しもかわ","SHIMOKAWA","上川(cid:13446)下川町南町"
"北海道","上川","12261","士別","しべつ","SHIBETSU","士別市(cid:7754)徳町"
"北海道","上川","12266","朝日","あさひ","ASAHI","士別市朝日町中央"
"北海道","上川","12301","和寒","わっさむ","WASSAMU","上川(cid:13446)和寒町日ノ出"
"北海道","上川","12386","(cid:7908)丹別","えたんべつ","ETAMBETSU","旭川市(cid:7908)丹別町(cid:11326)野"
"北海道","上川","12396","(cid:7834)布","ぴっぷ","PIPPU","上川(cid:13446)(cid:7834)布町北(cid:15920)(cid:10618)"
"北海道","上川","12411","上川","かみかわ","KAMIKAWA","上川(cid:13446)上川町(cid:7204)町"
"北海道","上川","12442","旭川","あさひかわ","ASAHIKAWA","旭川市宮前1条　旭川地方気象台"
"北海道","上川","12451","東川","ひがしかわ","HIGASHIKAWA","上川(cid:13446)東川町北町"
"北海道","上川","12512","志(cid:7834)内","しびない","SHIBINAI","上川(cid:13446)東神(cid:7462)町志(cid:7834)内"
"北海道","上川","12551","(cid:10814)(cid:9051)","びえい","BIEI","上川(cid:13446)(cid:10814)(cid:9051)町原野5(cid:10618)"
"北海道","上川","12596","上富良野","かみふらの","KAMIFURANO","空知(cid:13446)上富良野町大町"
"北海道","上川","12626","富良野","ふらの","FURANO","富良野市東町"
"北海道","上川","12632","(cid:15300)(cid:13459)","ろくごう","ROKUGO","富良野市(cid:15300)(cid:13459)市(cid:12196)地"
"北海道","上川","12691","幾寅","いくとら","IKUTORA","空知(cid:13446)南富良野町幾寅"
"北海道","上川","12746","占冠","しむかっぷ","SHIMUKAPPU","勇払(cid:13446)占冠村中央"
"北海道","上川","15041","朱(cid:14381)内","しゅまりない","SHUMARINAI","(cid:14261)(cid:10099)(cid:13446)幌加内町朱(cid:14381)内"
"北海道","上川","15076","幌加内","ほろかない","HOROKANAI","(cid:14261)(cid:10099)(cid:13446)幌加内町幌加内"
"北海道","留萌","13061","天塩","てしお","TESHIO","天塩(cid:13446)天塩町川口"
"北海道","留萌","13086","(cid:13362)別","えんべつ","EMBETSU","天塩(cid:13446)(cid:13362)別町幸和"
"北海道","留萌","13121","初山別","しょさんべつ","SHOSAMBETSU","(cid:11362)前(cid:13446)初山別村初山別"
"北海道","留萌","13146","(cid:8605)尻","やぎしり","YAGISHIRI","(cid:11362)前(cid:13446)(cid:10842)幌町(cid:8605)尻(cid:9425)(cid:8062)"
"北海道","留萌","13181","(cid:10842)幌","はぼろ","HABORO","(cid:11362)前(cid:13446)(cid:10842)幌町南3条　(cid:10842)幌特別地域気象観測所"
"北海道","留萌","13261","(cid:13353)布","たっぷ","TAPPU","留萌(cid:13446)小平町(cid:13353)布"
"北海道","留萌","13277","留萌","るもい","RUMOI","留萌市大町　留萌特別地域気象観測所"
"北海道","留萌","13311","増(cid:7839)","ましけ","MASHIKE","増(cid:7839)(cid:13446)増(cid:7839)町別(cid:11337)"
"北海道","留萌","13321","幌(cid:10439)","ほろぬか","HORONUKA","留萌市幌(cid:10439)町"
"北海道","石狩","14026","(cid:8062)(cid:9480)","はまます","HAMAMASU","石狩市(cid:8062)(cid:9480)区川下"
"北海道","石狩","14071","厚田","あつた","ATSUTA","石狩市厚田区別狩"
"北海道","石狩","14101","新(cid:10267)(cid:8032)","しんしのつ","SHINSHINOTSU","石狩(cid:13446)新(cid:10267)(cid:8032)村(cid:10152)46(cid:10618)北"
"北海道","石狩","14116","山口","やまぐち","YAMAGUCHI","札幌市手(cid:9988)区手(cid:9988)山口"
"北海道","石狩","14121","石狩","いしかり","ISHIKARI","石狩市(cid:9173)振"
"北海道","石狩","14136","(cid:7908)別","えべつ","EBETSU","(cid:7908)別市(cid:7908)別太"
"北海道","石狩","14163","札幌","さっぽろ","SAPPORO","札幌市中央区北2条(cid:12377)　札幌(cid:10230)区気象台"
"北海道","石狩","14206","恵庭島松","えにわしままつ","ENIWASHIMAMATSU","恵庭市下島松"
"北海道","石狩","14286","支(cid:10134)(cid:8224)(cid:9217)","しこつこはん","SHIKOTSUKOHAN","千(cid:7763)市支(cid:10134)(cid:8224)(cid:8194)(cid:7976)番外地"
"北海道","空知","15116","石狩(cid:7967)田","いしかりぬまた","ISHIKARINUMATA","(cid:14261)(cid:10099)(cid:13446)(cid:7967)田町(cid:10611)町"
"北海道","空知","15161","(cid:8157)川","ふかがわ","FUKAGAWA","(cid:8157)川市一已町一已"
"北海道","空知","15231","空知吉野","そらちよしの","SORACHIYOSHINO","(cid:7583)戸(cid:13446)新十(cid:8032)川町吉野"
"北海道","空知","15241","(cid:8298)川","たきかわ","TAKIKAWA","(cid:8298)川市南(cid:8298)の川"
"北海道","空知","15251","(cid:11313)別","あしべつ","ASHIBETSU","(cid:11313)別市北2条東"
"北海道","空知","15311","月形","つきがた","TSUKIGATA","(cid:7583)戸(cid:13446)月形町知来乙"
"北海道","空知","15321","(cid:10814)唄","びばい","BIBAI","(cid:10814)唄市北(cid:10814)唄町二区"
"北海道","空知","15356","岩(cid:12386)(cid:7953)","いわみざわ","IWAMIZAWA","岩(cid:12386)(cid:7953)市5条東　岩(cid:12386)(cid:7953)特別地域気象観測所"
"北海道","空知","15431","長(cid:7967)","ながぬま","NAGANUMA","夕張(cid:13446)長(cid:7967)町本町北"
"北海道","空知","15442","夕張","ゆうばり","YUBARI","夕張市鹿の谷山手町"
"北海道","後志","16026","(cid:10814)国","びくに","BIKUNI","(cid:10010)丹(cid:13446)(cid:10010)丹町(cid:10814)国町字(cid:11242)(cid:8406)"
"北海道","後志","16061","神恵内","かもえない","KAMOENAI","古宇(cid:13446)神恵内村大字神恵内村"
"北海道","後志","16076","余市","よいち","YOICHI","余市(cid:13446)余市町(cid:12751)丘町"
"北海道","後志","16091","小(cid:7585)","おたる","OTARU","小(cid:7585)市勝(cid:10465)町　小(cid:7585)特別地域気象観測所"
"北海道","後志","16156","共和","きょうわ","KYOWA","岩内(cid:13446)共和町南幌似"
"北海道","後志","16206","(cid:11858)(cid:12922)","らんこし","RANKOSHI","(cid:9790)谷(cid:13446)(cid:11858)(cid:12922)町(cid:11858)(cid:12922)"
"北海道","後志","16217","倶知安","くっちゃん","KUTCHAN","(cid:11905)田(cid:13446)倶知安町南1条東　倶知安特別地域気象観測所"
"北海道","後志","16252","寿都","すっつ","SUTTSU","寿都(cid:13446)寿都町新(cid:7204)町　寿都特別地域気象観測所"
"北海道","後志","16281","(cid:9535)狩","まっかり","MAKKARI","(cid:11905)田(cid:13446)(cid:9535)狩村(cid:10814)原"
"北海道","後志","16286","喜(cid:11377)別","きもべつ","KIMOBETSU","(cid:11905)田(cid:13446)喜(cid:11377)別町伏(cid:12386)"
"北海道","後志","16321","(cid:15342)松内","くろまつない","KUROMATSUNAI","寿都(cid:13446)(cid:15342)松内町(cid:15342)松内"
"中国","岡山","66046","上長田","かみながた","KAMINAGATA","(cid:9535)庭市(cid:11611)山上長田"
"中国","岡山","66091","千屋","ちや","CHIYA","新(cid:12386)市千屋"
"中国","岡山","66127","奈(cid:10831)","なぎ","NAGI","勝田(cid:13446)奈(cid:10831)町(cid:11432)内(cid:12377)字大(cid:7909)"
"中国","岡山","66136","今岡","いまおか","IMAOKA","(cid:10814)作市今岡"
"中国","岡山","66171","久世","くせ","KUSE","(cid:9535)庭市中島"
"中国","岡山","66186","(cid:8032)山","つやま","TSUYAMA","(cid:8032)山市林田　(cid:8032)山特別地域気象観測所"
"中国","岡山","66221","新(cid:12386)","にいみ","NIIMI","新(cid:12386)市(cid:12938)(cid:12386)堂の下"
"中国","岡山","66296","福渡","ふくわたり","FUKUWATARI","岡山市北区建(cid:13450)町福渡"
"中国","岡山","66306","和気","わけ","WAKE","和気(cid:13446)和気町吉田"
"中国","岡山","66336","高(cid:7281)","たかはし","TAKAHASHI","高(cid:7281)市(cid:11552)合町近似"
"中国","岡山","66408","岡山","おかやま","OKAYAMA","岡山市北区(cid:8032)島中　岡山地方気象台"
"中国","岡山","66421","(cid:11896)明","むしあげ","MUSHIAGE","(cid:8489)戸内市(cid:13402)久町(cid:11896)明"
"中国","岡山","66446","倉敷","くらしき","KURASHIKI","倉敷市中央"
"中国","岡山","66481","(cid:10143)岡","かさおか","KASAOKA","(cid:10143)岡市カブト東町"
"中国","岡山","66501","玉野","たまの","TAMANO","玉野市宇野"
"中国","広島","67016","高野","たかの","TAKANO","庄原市高野町新市"
"中国","広島","67106","三(cid:7711)","みよし","MIYOSHI","三(cid:7711)市三(cid:7711)町"
"中国","広島","67116","庄原","しょうばら","SHOBARA","庄原市東本町"
"中国","広島","67151","大朝","おおあさ","OASA","山(cid:9524)(cid:13446)北広島町大朝字大坪"
"中国","広島","67191","(cid:7964)木","ゆき","YUKI","神石(cid:13446)神石高原町安田伊ノ平谷"
"中国","広島","67212","加(cid:12451)","かけ","KAKE","山(cid:9524)(cid:13446)安(cid:11329)太田町加(cid:12451)字神田"
"中国","広島","67292","三入","みいり","MIIRI","広島市安佐北区三入"
"中国","広島","67316","世(cid:10806)","せら","SERA","世(cid:10806)(cid:13446)世(cid:10806)町大字東神崎字大田"
"中国","広島","67326","府中","ふちゅう","FUCHU","府中市土(cid:9173)町"
"中国","広島","67376","東広島","ひがしひろしま","HIGASHIHIROSHIMA","東広島市八本松町原"
"中国","広島","67401","福山","ふくやま","FUKUYAMA","福山市松永町　福山特別地域気象観測所"
"中国","広島","67421","廿日市(cid:8032)田","はつかいちつた","HATSUKAICHITSUTA","廿日市市(cid:8032)田"
"中国","広島","67437","広島","ひろしま","HIROSHIMA","広島市中区上八丁堀　広島地方気象台"
"中国","広島","67461","(cid:10121)原","たけはら","TAKEHARA","(cid:10121)原市忠海床(cid:8070)"
"中国","広島","67471","(cid:9173)口島","いくちじま","IKUCHIJIMA","尾道市(cid:8489)戸田町御寺"
"中国","広島","67496","大(cid:10121)","おおたけ","OTAKE","大(cid:10121)市(cid:10087)戸"
"中国","広島","67511","呉","くれ","KURE","呉市宝町　呉特別地域気象観測所"
"中国","広島","67576","呉市(cid:11622)刈","くれしかまがり","KURE-SHI-KAMAGARI","呉市(cid:11622)刈町大(cid:8070)字前沖(cid:8070)"
"中国","島根","68022","(cid:12377)(cid:13459)","さいごう","SAIGO","(cid:14211)岐(cid:13446)(cid:14211)岐の島町(cid:12377)町大城ノ一　(cid:12377)(cid:13459)特別地域気象観測所"
"中国","島根","68056","海士","あま","AMA","(cid:14211)岐(cid:13446)海士町海士"
"中国","島根","68091","鹿島","かしま","KASHIMA","松(cid:7908)市鹿島町佐(cid:14144)本(cid:13459)"
"中国","島根","68132","松(cid:7908)","まつえ","MATSUE","松(cid:7908)市(cid:12377)(cid:8032)田　松(cid:7908)地方気象台"
"中国","島根","68156","出(cid:14268)","いずも","IZUMO","出(cid:14268)市(cid:11313)渡町"
"中国","島根","68246","大田","おおだ","ODA","大田市大田町大田"
"中国","島根","68261","掛合","かけや","KAKEYA","(cid:14268)南市掛合町掛合"
"中国","島根","68276","(cid:7571)田","よこた","YOKOTA","仁多(cid:13446)奥出(cid:14268)町(cid:9988)原"
"中国","島根","68306","(cid:12901)名","あかな","AKANA","(cid:14564)石(cid:13446)(cid:14564)南町下(cid:12901)名"
"中国","島根","68351","川本","かわもと","KAWAMOTO","(cid:13402)智(cid:13446)川本町川本"
"中国","島根","68376","(cid:8062)田","はまだ","HAMADA","(cid:8062)田市大(cid:13239)町　(cid:8062)田特別地域気象観測所"
"中国","島根","68401","(cid:9054)(cid:10001)","みずほ","MIZUHO","(cid:13402)智(cid:13446)(cid:13402)南町(cid:8119)原"
"中国","島根","68431","弥(cid:7204)","やさか","YASAKA","(cid:8062)田市弥(cid:7204)町長安本(cid:13459)"
"中国","島根","68462","(cid:9480)田","ますだ","MASUDA","(cid:9480)田市あけぼの東町"
"中国","島根","68516","(cid:8032)和野","つわの","TSUWANO","鹿(cid:12938)(cid:13446)(cid:8032)和野町森村ロ"
"中国","島根","68541","吉賀","よしか","YOSHIKA","鹿(cid:12938)(cid:13446)吉賀町七日市"
"中国","鳥取","69006","境","さかい","SAKAI","境(cid:8199)市東本町　境特別地域気象観測所"
"中国","鳥取","69021","塩(cid:8032)","しおつ","SHIOTSU","(cid:12377)伯(cid:13446)大山町塩(cid:8032)"
"中国","鳥取","69041","青谷","あおや","AOYA","鳥取市青谷町青谷"
"中国","鳥取","69061","岩井","いわい","IWAI","岩(cid:10814)(cid:13446)岩(cid:10814)町宇(cid:7966)字前田"
"中国","鳥取","69076","(cid:10367)子","よなご","YONAGO","(cid:10367)子市博労町　(cid:10367)子特別地域気象観測所"
"中国","鳥取","69101","倉吉","くらよし","KURAYOSHI","倉吉市大塚字(cid:14192)ヶ坪"
"中国","鳥取","69122","鳥取","とっとり","TOTTORI","鳥取市吉方　鳥取地方気象台"
"中国","鳥取","69246","智(cid:14476)","ちず","CHIZU","八(cid:14476)(cid:13446)智(cid:14476)町智(cid:14476)沖代"
"中国","鳥取","69271","(cid:11412)屋","ちゃや","CYAYA","日野(cid:13446)日南町(cid:11412)屋大ジャフ田"
"中国","山口","81011","(cid:14450)佐","すさ","SUSA","(cid:11543)市(cid:14450)佐字野中"
"中国","山口","81071","(cid:11543)","はぎ","HAGI","(cid:11543)市大字土原字川島沖田　(cid:11543)特別地域気象観測所"
"中国","山口","81116","(cid:7964)谷","ゆや","YUYA","長(cid:14043)市(cid:7964)谷新別名"
"中国","山口","81151","徳佐","とくさ","TOKUSA","山口市(cid:14143)東徳佐中"
"中国","山口","81196","秋吉台","あきよしだい","AKIYOSHIDAI","(cid:10814)(cid:9863)市秋(cid:11326)町秋吉"
"中国","山口","81231","広(cid:8489)","ひろせ","HIROSE","岩国市(cid:13834)町広(cid:8489)"
"中国","山口","81266","(cid:12751)田","とよた","TOYOTA","下関市(cid:12751)田町大字(cid:9988)光字土(cid:7595)"
"中国","山口","81286","山口","やまぐち","YAMAGUCHI","山口市前町　山口特別地域気象観測所"
"中国","山口","81321","岩国","いわくに","IWAKUNI","岩国市川(cid:12377)"
"中国","山口","81371","(cid:14133)府","ほうふ","HOFU","(cid:14133)府市大字(cid:7388)松"
"中国","山口","81386","下松","くだまつ","KUDAMATSU","下松市(cid:12377)(cid:12751)井"
"中国","山口","81397","(cid:8938)(cid:8963)","くが","KUGA","岩国市(cid:8938)(cid:8963)町"
"中国","山口","81428","下関","しものせき","SHIMONOSEKI","下関市(cid:10121)崎町　下関地方気象台"
"中国","山口","81481","柳井","やない","YANAI","柳井市南(cid:8062)"
"中国","山口","81486","安下庄","あげのしょう","AGENOSHO","大島(cid:13446)周(cid:14133)大島町東安下庄"
"四国","徳島","71066","(cid:7909)田","いけだ","IKEDA","三好市(cid:7909)田町シンヤマ"
"四国","徳島","71087","(cid:10032)吹","あなぶき","ANABUKI","(cid:10814)馬市(cid:10032)吹町口山初(cid:11425)"
"四国","徳島","71106","徳島","とくしま","TOKUSHIMA","徳島市大和町　徳島地方気象台"
"四国","徳島","71191","京上","きょうじょう","KYOJO","三好市東(cid:9853)谷京上"
"四国","徳島","71231","(cid:11622)(cid:9173)田","かもだ","KAMODA","(cid:14143)南市(cid:7418)町(cid:11622)(cid:9173)田"
"四国","徳島","71251","木(cid:14476)","きとう","KITO","(cid:13411)賀(cid:13446)(cid:13411)賀町木(cid:14476)和(cid:8595)田ヨシノ"
"四国","徳島","71266","日和佐","ひわさ","HIWASA","海(cid:13450)(cid:13446)(cid:10814)(cid:7996)町日和佐(cid:8070)"
"四国","徳島","71291","海(cid:14183)","かいよう","KAIYO","海(cid:13450)(cid:13446)海(cid:14183)町四方原字杉谷"
"四国","香川","72061","内海","うちのみ","UCHINOMI","小(cid:12747)(cid:13446)小(cid:12747)島町(cid:12377)村甲"
"四国","香川","72086","高松","たかまつ","TAKAMATSU","高松市伏石町　高松地方気象台"
"四国","香川","72111","多度(cid:8032)","たどつ","TADOTSU","仲多度(cid:13446)多度(cid:8032)町家中　多度(cid:8032)特別地域気象観測所"
"四国","香川","72121","(cid:8298)宮","たきのみや","TAKINOMIYA","(cid:10596)歌(cid:13446)(cid:10596)川町(cid:8298)宮字山田"
"四国","香川","72146","引田","ひけた","HIKETA","東かがわ市南野"
"四国","香川","72161","(cid:12808)田","さいた","SAITA","三(cid:12751)市(cid:12808)田町(cid:12808)田上"
"四国","愛媛","73001","大三島","おおみしま","OMISHIMA","今(cid:7966)市大三島町宮(cid:8070)地先"
"四国","愛媛","73076","今(cid:7966)","いまばり","IMABARI","今(cid:7966)市山路"
"四国","愛媛","73126","(cid:12377)条","さいじょう","SAIJO","(cid:12377)条市周布"
"四国","愛媛","73141","新居(cid:8062)","にいはま","NIIHAMA","新居(cid:8062)市(cid:11242)木"
"四国","愛媛","73151","四国中央","しこくちゅうおう","SHIKOKU-CHUO","四国中央市妻鳥町乙"
"四国","愛媛","73166","松山","まつやま","MATSUYAMA","松山市北持田町　松山地方気象台"
"四国","愛媛","73256","長(cid:8062)","ながはま","NAGAHAMA","大(cid:8042)市長(cid:8062)甲"
"四国","愛媛","73276","久万","くま","KUMA","上(cid:8075)(cid:10032)(cid:13446)久万高原町入野"
"四国","愛媛","73306","大(cid:8042)","おおず","OZU","大(cid:8042)市(cid:14143)(cid:11702)字フルカワ甲"
"四国","愛媛","73341","(cid:8489)戸","せと","SETO","(cid:12377)宇和(cid:13446)伊方町塩成"
"四国","愛媛","73406","宇和","うわ","UWA","(cid:12377)予市宇和町神(cid:14463)"
"四国","愛媛","73442","宇和島","うわじま","UWAJIMA","宇和島市住吉町　宇和島特別地域気象観測所"
"四国","愛媛","73446","近永","ちかなが","CHIKANAGA","北宇和(cid:13446)(cid:14883)北町近永"
"四国","愛媛","73516","御(cid:11438)","みしょう","MISHO","南宇和(cid:13446)愛南町御(cid:11438)平城"
"四国","高知","74056","本川","ほんがわ","HONGAWA","吾川(cid:13446)いの町(cid:11045)の山字根(cid:11816)"
"四国","高知","74071","本山","もとやま","MOTOYAMA","長岡(cid:13446)本山町本山"
"四国","高知","74136","大栃","おおどち","ODOCHI","香(cid:10814)市(cid:8768)(cid:13450)町大栃上(cid:12377)の川"
"四国","高知","74181","高知","こうち","KOCHI","高知市(cid:7834)島町　高知地方気象台"
"四国","高知","74187","後免","ごめん","GOMEN","南国市廿枝"
"四国","高知","74271","安(cid:11329)","あき","AKI","安(cid:11329)市伊尾木"
"四国","高知","74296","(cid:7326)原","ゆすはら","YUSUHARA","高岡(cid:13446)(cid:7326)原町川(cid:12377)路"
"四国","高知","74311","(cid:14450)崎","すさき","SUSAKI","(cid:14450)崎市(cid:12377)町"
"四国","高知","74361","(cid:10065)川","くぼかわ","KUBOKAWA","高岡(cid:13446)四万十町新(cid:14052)町"
"四国","高知","74372","室戸岬","むろとみさき","MUROTOMISAKI","室戸市室戸岬町　室戸岬特別地域気象観測所"
"四国","高知","74381","(cid:7908)川崎","えかわさき","EKAWASAKI","四万十市(cid:12377)土佐(cid:9181)井"
"四国","高知","74436","佐賀","さが","SAGA","幡多(cid:13446)(cid:15342)(cid:8379)町佐賀"
"四国","高知","74447","宿(cid:7839)","すくも","SUKUMO","宿(cid:7839)市(cid:8742)島　宿(cid:7839)特別地域気象観測所"
"四国","高知","74456","中村","なかむら","NAKAMURA","四万十市入田字長善寺前"
"四国","高知","74516","(cid:8171)(cid:7880)","しみず","SHIMIZU","土佐(cid:8171)(cid:7880)市(cid:12938)摺岬　(cid:8171)(cid:7880)特別地域気象観測所"
"九州","福岡","82046","宗像","むなかた","MUNAKATA","宗像市田熊"
"九州","福岡","82056","八幡","やはた","YAHATA","北九州市八幡(cid:12377)区(cid:15258)の巣"
"九州","福岡","82101","(cid:12188)(cid:7595)","ゆくはし","YUKUHASHI","(cid:12188)(cid:7595)市(cid:12377)(cid:7976)"
"九州","福岡","82136","(cid:14564)塚","いいづか","IIZUKA","(cid:14564)塚市川島字(cid:9169)木　(cid:14564)塚特別地域気象観測所"
"九州","福岡","82171","前原","まえばる","MAEBARU","(cid:10450)島市前原(cid:12377)"
"九州","福岡","82182","福岡","ふくおか","FUKUOKA","福岡市中央区大(cid:8446)　福岡(cid:10230)区気象台"
"九州","福岡","82191","太宰府","だざいふ","DAZAIFU","太宰府市大佐野"
"九州","福岡","82206","(cid:8167)田","そえだ","SOEDA","田川(cid:13446)(cid:8167)田町大字野田字大野ノ原"
"九州","福岡","82261","朝倉","あさくら","ASAKURA","朝倉市三奈木"
"九州","福岡","82306","久留(cid:10367)","くるめ","KURUME","久留(cid:10367)市(cid:8032)福本町"
"九州","福岡","82317","(cid:15342)木","くろぎ","KUROGI","八女市(cid:15342)木町本分"
"九州","福岡","82361","大(cid:8761)田","おおむた","OMUTA","大(cid:8761)田市(cid:10162)原町"
"九州","大分","83021","国(cid:12386)","くにみ","KUNIMI","国東市国(cid:12386)町中"
"九州","大分","83051","中(cid:8032)","なかつ","NAKATSU","中(cid:8032)市大字定留"
"九州","大分","83061","(cid:12751)後高田","ぶんごたかだ","BUNGOTAKADA","(cid:12751)後高田市呉崎"
"九州","大分","83106","(cid:14164)内","いんない","INNAI","宇佐市(cid:14164)内町山城"
"九州","大分","83121","杵(cid:10255)","きつき","KITSUKI","杵(cid:10255)市大字本庄"
"九州","大分","83137","日田","ひた","HITA","日田市三本松　日田特別地域気象観測所"
"九州","大分","83191","(cid:8938)(cid:8980)","くす","KUSU","(cid:8938)(cid:8980)(cid:13446)(cid:8938)(cid:8980)町大字帆(cid:12938)"
"九州","大分","83201","(cid:8238)布(cid:14164)","ゆふいん","YUFUIN","(cid:9188)布市(cid:8238)布(cid:14164)町川南"
"九州","大分","83216","大分","おおいた","OITA","大分市長(cid:8062)町　大分地方気象台"
"九州","大分","83341","(cid:8799)(cid:14571)","いぬかい","INUKAI","(cid:12751)後大野市(cid:8799)(cid:14571)町田原"
"九州","大分","83371","(cid:10121)田","たけた","TAKETA","(cid:10121)田市大字会々"
"九州","大分","83401","佐伯","さいき","SAIKI","佐伯市字剣崎"
"九州","大分","83431","宇(cid:9504)","うめ","UME","佐伯市宇(cid:9504)大字重岡"
"九州","大分","83476","(cid:11622)(cid:7908)","かまえ","KAMAE","佐伯市(cid:11622)(cid:7908)(cid:11622)(cid:7908)(cid:8070)"
"九州","長崎","84012","(cid:15021)(cid:8070)","わにうら","WANIURA","対馬市上対馬町(cid:15021)(cid:8070)字カキセ"
"九州","長崎","84072","厳原","いづはら","IZUHARA","対馬市厳原町東(cid:13595)　厳原特別地域気象観測所"
"九州","長崎","84121","(cid:11313)(cid:13238)","あしべ","ASHIBE","壱岐市(cid:11313)(cid:13238)町国分東(cid:12432)"
"九州","長崎","84171","平戸","ひらど","HIRADO","平戸市岩の上町　平戸特別地域気象観測所"
"九州","長崎","84183","松(cid:8070)","まつうら","MATSUURA","松(cid:8070)市志佐町(cid:13595)免字(cid:13239)ノ尾台"
