"地方","振興局","地点番号","観測所名","よみがな","ローマ字表記","所在地"
"九州","長崎","84266","佐世保","させぼ","SASEBO","佐世保市干尽町　佐世保特別地域気象観測所"
"九州","長崎","84341","有川","ありかわ","ARIKAWA","南松(cid:8070)(cid:13446)新上五島町有川(cid:13459)字上原"
"九州","長崎","84356","大(cid:8489)戸","おおせと","OSETO","(cid:12377)海市大(cid:8489)戸町多以良外(cid:13459)先野元"
"九州","長崎","84496","長崎","ながさき","NAGASAKI","長崎市南山手町　長崎地方気象台"
"九州","長崎","84519","(cid:14268)仙岳","うんぜんだけ","UNZENDAKE","(cid:14268)仙市小(cid:8062)町(cid:14268)仙　(cid:14268)仙岳特別地域気象観測所"
"九州","長崎","84523","島原","しまばら","SHIMABARA","島原市新(cid:8214)"
"九州","長崎","84536","福(cid:7908)","ふくえ","FUKUE","五島市木場町　福(cid:7908)特別地域気象観測所"
"九州","長崎","84561","口之(cid:8032)","くちのつ","KUCHINOTSU","南島原市口之(cid:8032)町丁"
"九州","長崎","84596","野(cid:7829)崎","のもざき","NOMOZAKI","長崎市野(cid:7829)町"
"九州","佐賀","85033","唐(cid:8032)","からつ","KARATSU","唐(cid:8032)市二夕子"
"九州","佐賀","85116","伊万(cid:13595)","いまり","IMARI","伊万(cid:13595)市(cid:10087)(cid:11324)町"
"九州","佐賀","85142","佐賀","さが","SAGA","佐賀市(cid:14672)前中央　佐賀地方気象台"
"九州","佐賀","85161","嬉野","うれしの","URESHINO","嬉野市嬉野町大字下野丙"
"九州","佐賀","85166","(cid:9425)石","しろいし","SHIROISHI","杵島(cid:13446)(cid:9425)石町大字福田"
"九州","熊本","86006","鹿北","かほく","KAHOKU","山鹿市鹿北町岩野"
"九州","熊本","86066","南小国","みなみおぐに","MINAMIOGUNI","(cid:14143)(cid:11837)(cid:13446)南小国町(cid:12901)馬場"
"九州","熊本","86086","岱明","たいめい","TAIMEI","玉名市岱明町中土"
"九州","熊本","86101","(cid:11493)(cid:7909)","きくち","KIKUCHI","(cid:11493)(cid:7909)市木柑子字上(cid:13239)"
"九州","熊本","86111","(cid:14143)(cid:11837)乙姫","あそおとひめ","ASO-OTOHIME","(cid:14143)(cid:11837)市乙姫"
"九州","熊本","86141","熊本","くまもと","KUMAMOTO","熊本市中央区京町　熊本地方気象台"
"九州","熊本","86157","南(cid:14143)(cid:11837)","みなみあそ","MINAMIASO","(cid:14143)(cid:11837)(cid:13446)南(cid:14143)(cid:11837)村(cid:7961)(cid:14172)"
"九州","熊本","86161","高森","たかもり","TAKAMORI","(cid:14143)(cid:11837)(cid:13446)高森町大字高森"
"九州","熊本","86216","三(cid:12421)","みすみ","MISUMI","宇城市三(cid:12421)町(cid:7996)多"
"九州","熊本","86236","甲佐","こうさ","KOSA","上(cid:9480)城(cid:13446)甲佐町大字(cid:12751)内"
"九州","熊本","86271","松島","まつしま","MATSUSHIMA","上天(cid:11425)市松島町(cid:14143)村"
"九州","熊本","86316","本渡","ほんど","HONDO","天(cid:11425)市本渡町本戸馬場"
"九州","熊本","86336","八代","やつしろ","YATSUSHIRO","八代市平山新町"
"九州","熊本","86451","(cid:7880)俣","みなまた","MINAMATA","(cid:7880)俣市南福寺"
"九州","熊本","86467","人吉","ひとよし","HITOYOSHI","人吉市城本町　人吉特別地域気象観測所"
"九州","熊本","86477","上","うえ","UE","(cid:9003)(cid:9787)(cid:13446)あさぎり町上北"
"九州","熊本","86491","(cid:8757)(cid:8157)","うしぶか","USHIBUKA","天(cid:11425)市(cid:8757)(cid:8157)町　(cid:8757)(cid:8157)特別地域気象観測所"
"九州","宮崎","87041","高千(cid:10001)","たかちほ","TAKACHIHO","(cid:12377)(cid:11195)杵(cid:13446)高千(cid:10001)町大字押方字宮野原"
"九州","宮崎","87066","古(cid:7908)","ふるえ","FURUE","延岡市北(cid:8070)町古(cid:7908)"
"九州","宮崎","87071","(cid:14369)岡","くらおか","KURAOKA","(cid:12377)(cid:11195)杵(cid:13446)五ヶ(cid:8489)町大字(cid:14369)岡"
"九州","宮崎","87141","延岡","のべおか","NOBEOKA","延岡市天神小路　延岡特別地域気象観測所"
"九州","宮崎","87181","日向","ひゅうが","HYUGA","日向市大字塩(cid:12386)"
"九州","宮崎","87206","神(cid:14043)","みかど","MIKADO","東(cid:11195)杵(cid:13446)(cid:10814)(cid:13459)町南(cid:13459)区神(cid:14043)"
"九州","宮崎","87231","(cid:12377)(cid:10367)良","にしめら","NISHI-MERA","児(cid:8238)(cid:13446)(cid:12377)(cid:10367)良村大字(cid:10121)原"
"九州","宮崎","87293","高(cid:13856)","たかなべ","TAKANABE","児(cid:8238)(cid:13446)高(cid:13856)町上(cid:7908)"
"九州","宮崎","87301","加久(cid:11816)","かくとう","KAKUTO","えびの市大字永山"
"九州","宮崎","87331","(cid:12377)都","さいと","SAITO","(cid:12377)都市大字(cid:15342)(cid:9173)野"
"九州","宮崎","87352","小林","こばやし","KOBAYASHI","小林市南(cid:12377)方"
"九州","宮崎","87376","宮崎","みやざき","MIYAZAKI","宮崎市(cid:14301)島　宮崎地方気象台"
"九州","宮崎","87406","田野","たの","TANO","宮崎市田野町甲"
"九州","宮崎","87426","都城","みやこのじょう","MIYAKONOJO","都城市(cid:11501)(cid:11622)原町　都城特別地域気象観測所"
"九州","宮崎","87492","(cid:7964)(cid:8032)","あぶらつ","ABURATSU","日南市(cid:7964)(cid:8032)　(cid:7964)(cid:8032)特別地域気象観測所"
"九州","宮崎","87501","串(cid:14059)","くしま","KUSHIMA","串(cid:14059)市大字(cid:12377)方字平山"
"九州","鹿児島","88061","(cid:14143)久根","あくね","AKUNE","(cid:14143)久根市(cid:12901)(cid:8489)川　(cid:14143)久根特別地域気象観測所"
"九州","鹿児島","88081","大口","おおくち","OKUCHI","伊佐市大口原田"
"九州","鹿児島","88107","さつま柏原","さつまかしわばる","SATSUMAKASHIWABARU","(cid:11779)摩(cid:13446)さつま町柏原"
"九州","鹿児島","88131","中(cid:9163)","なかこしき","NAKAKOSHIKI","(cid:11779)摩川内市上(cid:9163)町中(cid:9163)"
"九州","鹿児島","88151","川内","せんだい","SENDAI","(cid:11779)摩川内市中(cid:13459)"
"九州","鹿児島","88261","東市来","ひがしいちき","HIGASHIICHIKI","日(cid:10792)市東市来町(cid:8238)田"
"九州","鹿児島","88286","(cid:8766)之原","まきのはら","MAKINOHARA","(cid:14301)島市福山町福山"
"九州","鹿児島","88317","鹿児島","かごしま","KAGOSHIMA","鹿児島市東(cid:13446)元町　鹿児島地方気象台"
"九州","鹿児島","88331","(cid:13156)北","きほく","KIHOKU","鹿屋市(cid:13156)北町市成"
"九州","鹿児島","88371","加世田","かせだ","KASEDA","南さつま市加世田東本町"
"九州","鹿児島","88406","志布志","しぶし","SHIBUSHI","志布志市志布志町志布志字杉の下"
"九州","鹿児島","88432","喜入","きいれ","KIIRE","鹿児島市喜入中名町"
"九州","鹿児島","88442","鹿屋","かのや","KANOYA","鹿屋市寿"
"九州","鹿児島","88447","(cid:10978)付前田","きもつきまえだ","KIMOTSUKIMAEDA","(cid:10978)属(cid:13446)(cid:10978)付町前田"
"九州","鹿児島","88466","枕崎","まくらざき","MAKURAZAKI","枕崎市高(cid:12386)町　枕崎特別地域気象観測所"
"九州","鹿児島","88486","指宿","いぶすき","IBUSUKI","指宿市十町"
"九州","鹿児島","88506","内之(cid:8070)","うちのうら","UCHINOURA","(cid:10978)属(cid:13446)(cid:10978)付町北方"
"九州","鹿児島","88536","田代","たしろ","TASHIRO","(cid:10978)属(cid:13446)(cid:13834)(cid:7908)町田代(cid:15300)"
"九州","鹿児島","88612","(cid:9984)子島","たねがしま","TANEGASHIMA","(cid:12377)之表市(cid:12377)之表　(cid:9984)子島特別地域気象観測所"
"九州","鹿児島","88666","上中","かみなか","KAMINAKA","熊(cid:7839)(cid:13446)南(cid:9984)子町中之下"
"九州","鹿児島","88686","屋久島","やくしま","YAKUSHIMA","熊(cid:7839)(cid:13446)屋久島町小(cid:8489)田　屋久島特別地域気象観測所"
"九州","鹿児島","88706","尾之(cid:14059)","おのあいだ","ONOAIDA","熊(cid:7839)(cid:13446)屋久島町尾之(cid:14059)字井出ノ尻"
"九州","鹿児島","88736","中之島","なかのしま","NAKANOSHIMA","鹿児島(cid:13446)十島村中之島"
"九州","鹿児島","88836","名(cid:8489)","なぜ","NAZE","奄(cid:10814)市名(cid:8489)(cid:8199)町　名(cid:8489)測候所"
"九州","鹿児島","88901","古仁屋","こにや","KONIYA","大島(cid:13446)(cid:8489)戸内町古仁屋(cid:11242)(cid:8032)"
"九州","鹿児島","88956","伊仙","いせん","ISEN","大島(cid:13446)伊仙町(cid:14339)縄"
"九州","鹿児島","88971","沖永良(cid:13450)","おきのえらぶ","OKINOERABU","大島(cid:13446)和(cid:7977)町国(cid:14476)字手付　沖永良(cid:13450)特別地域気象観測所"
"沖縄","沖縄","91011","伊是名","いぜな","IZENA","島尻(cid:13446)伊是名村字内(cid:11324)"
"沖縄","沖縄","91021","奥","おく","OKU","国(cid:14476)(cid:13446)国(cid:14476)村奥"
"沖縄","沖縄","91107","名(cid:12708)","なご","NAGO","名(cid:12708)市宮(cid:13595)　名(cid:12708)特別地域気象観測所"
"沖縄","沖縄","91146","久(cid:10367)島","くめじま","KUMEJIMA","島尻(cid:13446)久(cid:10367)島町字(cid:12656)名堂　久(cid:10367)島特別地域気象観測所"
"沖縄","沖縄","91166","宮城島","みやぎじま","MIYAGIJIMA","うるま市与(cid:13411)城上原阪上"
"沖縄","沖縄","91181","渡嘉敷","とかしき","TOKASHIKI","島尻(cid:13446)渡嘉敷村渡嘉敷"
"沖縄","沖縄","91197","(cid:13411)(cid:12382)","なは","NAHA","(cid:13411)(cid:12382)市(cid:7549)川　沖縄気象台"
"沖縄","沖縄","91241","(cid:10450)数","いとかず","ITOKAZU","南城市玉城字(cid:10450)数(cid:12377)(cid:12901)(cid:8032)川原"
"沖縄","沖縄","92011","南大東","みなみだいとう","MINAMI-DAITO","島尻(cid:13446)南大東村在所　南大東島地方気象台"
"沖縄","沖縄","93041","宮古島","みやこじま","MIYAKOJIMA","宮古島市平良字下(cid:13595)　宮古島地方気象台"
"沖縄","沖縄","94001","伊原(cid:14059)","いばるま","IBARUMA","石垣市伊原(cid:14059)"
"沖縄","沖縄","94017","与(cid:13411)国島","よなぐにじま","YONAGUNIJIMA","八重山(cid:13446)与(cid:13411)国町与(cid:13411)国　与(cid:13411)国島特別地域気象観測所"
"沖縄","沖縄","94062","(cid:12377)表島","いりおもてじま","IRIOMOTEJIMA","八重山(cid:13446)(cid:10121)富町字上原宇(cid:13411)利崎　(cid:12377)表島特別地域気象観測所"
"沖縄","沖縄","94081","石垣島","いしがきじま","ISHIGAKIJIMA","石垣市(cid:9423)野城　石垣島地方気象台"
"沖縄","沖縄","94101","大原","おおはら","OHARA","八重山(cid:13446)(cid:10121)富町南(cid:14524)(cid:12386)"
"沖縄","沖縄","94116","(cid:7996)(cid:8631)(cid:14059)","はてるま","HATERUMA","八重山(cid:13446)(cid:10121)富町(cid:7996)(cid:8631)(cid:14059)"
"北海道","オホーツク","17036","(cid:14237)(cid:7754)","おうむ","OMU","(cid:10464)別(cid:13446)(cid:14237)(cid:7754)町(cid:14237)(cid:7754)　(cid:14237)(cid:7754)特別地域気象観測所"
"北海道","オホーツク","17076","興(cid:13450)","おこっぺ","OKOPPE","(cid:10464)別(cid:13446)興(cid:13450)町興(cid:13450)"
"北海道","オホーツク","17091","(cid:12377)興(cid:13450)","にしおこっぺ","NISHI-OKOPPE","(cid:10464)別(cid:13446)(cid:12377)興(cid:13450)村(cid:12377)興(cid:13450)"
"北海道","オホーツク","17112","(cid:10464)別","もんべつ","MOMBETSU","(cid:10464)別市南が丘町　(cid:10464)別特別地域気象観測所"
"北海道","オホーツク","17166","(cid:8234)別","ゆうべつ","YUBETSU","(cid:10464)別(cid:13446)(cid:8234)別町東"
"北海道","オホーツク","17196","(cid:8298)上","たきのうえ","TAKINOUE","(cid:10464)別(cid:13446)(cid:8298)上町(cid:8298)ノ上原野5(cid:10618)南"
"北海道","オホーツク","17246","常呂","ところ","TOKORO","北(cid:12386)市常呂町字岐阜"
"北海道","オホーツク","17306","(cid:13362)(cid:13133)","えんがる","ENGARU","(cid:10464)別(cid:13446)(cid:13362)(cid:13133)町東町"
"北海道","オホーツク","17316","佐呂(cid:14059)","さろま","SAROMA","常呂(cid:13446)佐呂(cid:14059)町(cid:12377)富"
"北海道","オホーツク","17341","(cid:10585)(cid:12910)","あばしり","ABASHIRI","(cid:10585)(cid:12910)市台町　(cid:10585)(cid:12910)地方気象台"
"北海道","オホーツク","17351","宇(cid:9423)呂","うとろ","UTORO","斜(cid:13595)(cid:13446)斜(cid:13595)町ウトロ高原"
"北海道","オホーツク","17482","(cid:9425)(cid:8298)","しらたき","SHIRATAKI","(cid:10464)別(cid:13446)(cid:13362)(cid:13133)町(cid:9425)(cid:8298)北支(cid:8234)別"
"北海道","オホーツク","17501","(cid:9173)田原","いくたはら","IKUTAHARA","(cid:10464)別(cid:13446)(cid:13362)(cid:13133)町(cid:9173)田原"
"北海道","オホーツク","17521","北(cid:12386)","きたみ","KITAMI","北(cid:12386)市広(cid:13459)"
"北海道","オホーツク","17546","小(cid:8171)(cid:7880)","こしみず","KOSHIMIZU","斜(cid:13595)(cid:13446)小(cid:8171)(cid:7880)町(cid:7976)"
"北海道","オホーツク","17561","斜(cid:13595)","しゃり","SHARI","斜(cid:13595)(cid:13446)斜(cid:13595)町以久(cid:9929)南"
"北海道","オホーツク","17596","留(cid:13238)(cid:11833)","るべしべ","RUBESHIBE","北(cid:12386)市留(cid:13238)(cid:11833)町大和"
"北海道","オホーツク","17607","境野","さかいの","SAKAINO","常呂(cid:13446)(cid:10792)戸町(cid:12751)住"
"北海道","オホーツク","17631","(cid:10814)幌","びほろ","BIHORO","(cid:10585)(cid:12910)(cid:13446)(cid:10814)幌町福住"
"北海道","オホーツク","17717","(cid:8032)別","つべつ","TSUBETSU","(cid:10585)(cid:12910)(cid:13446)(cid:8032)別町(cid:12751)永"
"北海道","根室","18038","(cid:10806)(cid:11195)","らうす","RAUSU","(cid:9504)梨(cid:13446)(cid:10806)(cid:11195)町(cid:7204)町"
"北海道","根室","18136","(cid:7558)(cid:8032)","しべつ","SHIBETSU","(cid:7558)(cid:8032)(cid:13446)(cid:7558)(cid:8032)町北2条(cid:12377)"
"北海道","根室","18161","上(cid:7558)(cid:8032)","かみしべつ","KAMISHIBETSU","(cid:7558)(cid:8032)(cid:13446)中(cid:7558)(cid:8032)町字上(cid:7558)(cid:8032)"
"北海道","根室","18171","中(cid:7558)(cid:8032)","なかしべつ","NAKASHIBETSU","(cid:7558)(cid:8032)(cid:13446)中(cid:7558)(cid:8032)町(cid:7260)ケ丘"
"北海道","根室","18256","別海","べつかい","BETSUKAI","野付(cid:13446)別海町川上町"
"北海道","根室","18273","根室","ねむろ","NEMURO","根室市弥(cid:7204)町　根室特別地域気象観測所"
"北海道","根室","18281","(cid:10465)(cid:7947)布","のさっぷ","NOSAPPU","根室市(cid:8194)根元"
"北海道","根室","18311","厚床","あっとこ","ATTOKO","根室市(cid:12377)厚床"
"北海道","釧路","19021","川(cid:8238)","かわゆ","KAWAYU","川上(cid:13446)弟子屈町川(cid:8238)(cid:14672)前"
"北海道","釧路","19051","弟子屈","てしかが","TESHIKAGA","川上(cid:13446)弟子屈町弟子屈原野"
"北海道","釧路","19076","(cid:14143)寒(cid:8224)(cid:9217)","あかんこはん","AKANKOHAN","釧路市(cid:14143)寒町(cid:14143)寒(cid:8224)(cid:8194)(cid:7976)"
"北海道","釧路","19151","(cid:7558)(cid:11412)","しべちゃ","SHIBECHA","川上(cid:13446)(cid:7558)(cid:11412)町(cid:14052)(cid:13344)"
"北海道","釧路","19191","(cid:15215)居","つるい","TSURUI","(cid:14143)寒(cid:13446)(cid:15215)居村(cid:15215)居東"
"北海道","釧路","19261","中徹別","なかてしべつ","NAKATESHIBETSU","釧路市(cid:14143)寒町徹別中央34(cid:10618)"
"北海道","釧路","19311","(cid:7468)町","さかきまち","SAKAKIMACHI","厚岸(cid:13446)(cid:8062)中町(cid:7468)町"
"北海道","釧路","19376","太田","おおた","OTA","厚岸(cid:13446)厚岸町太田"
"北海道","釧路","19416","(cid:9425)(cid:10439)","しらぬか","SHIRANUKA","(cid:9425)(cid:10439)(cid:13446)(cid:9425)(cid:10439)町(cid:12377)2条北"
"北海道","釧路","19432","釧路","くしろ","KUSHIRO","釧路市幸町　釧路地方気象台"
"北海道","釧路","19451","知方学","ちっぽまない","CHIPPOMANAI","釧路(cid:13446)釧路町仙(cid:15109)(cid:12945)村知方学"
"北海道","十勝","20146","陸別","りくべつ","RIKUBETSU","(cid:12938)寄(cid:13446)陸別町陸別原野分(cid:10618)"
"北海道","十勝","20186","ぬかびら(cid:8251)(cid:7976)(cid:13459)","ぬかびらげんせんきょう","NUKABIRA-GENSENKYO","(cid:7961)東(cid:13446)上士幌町ぬかびら(cid:8251)(cid:7976)(cid:13459)北区"
"北海道","十勝","20266","上士幌","かみしほろ","KAMISHIHORO","(cid:7961)東(cid:13446)上士幌町東4(cid:10618)"
"北海道","十勝","20276","(cid:12938)寄","あしょろ","ASHORO","(cid:12938)寄(cid:13446)(cid:12938)寄町南1条"
"北海道","十勝","20341","本別","ほんべつ","HOMBETSU","中川(cid:13446)本別町新町"
"北海道","十勝","20356","新得","しんとく","SHINTOKU","上川(cid:13446)新得町4条南"
"北海道","十勝","20361","鹿(cid:13283)","しかおい","SHIKAOI","(cid:7961)東(cid:13446)鹿(cid:13283)町(cid:10611)町"
"北海道","十勝","20371","(cid:14678)場","こまば","KOMABA","(cid:7961)東(cid:13446)(cid:14434)更町(cid:14678)場北町"
"北海道","十勝","20421","(cid:11334)室","めむろ","MEMURO","(cid:7961)(cid:12377)(cid:13446)(cid:11334)室町(cid:12377)3条南"
"北海道","十勝","20432","帯広","おびひろ","OBIHIRO","帯広市東4条南　帯広測候所"
"北海道","十勝","20441","(cid:7909)田","いけだ","IKEDA","中川(cid:13446)(cid:7909)田町(cid:8171)(cid:12386)"
"北海道","十勝","20506","(cid:8070)幌","うらほろ","URAHORO","十勝(cid:13446)(cid:8070)幌町(cid:7260)町"
"北海道","十勝","20556","(cid:10439)内","ぬかない","NUKANAI","中川(cid:13446)幕別町五位"
"北海道","十勝","20601","上札内","かみさつない","KAMISATSUNAI","(cid:7961)(cid:12377)(cid:13446)中札内村元札内(cid:12377)1(cid:10618)"
"北海道","十勝","20606","更別","さらべつ","SARABETSU","(cid:7961)(cid:12377)(cid:13446)更別村更別南2(cid:10618)"
"北海道","十勝","20631","大(cid:8032)","おおつ","OTSU","中川(cid:13446)(cid:12751)(cid:14445)町大(cid:8032)寿町"
"北海道","十勝","20696","大(cid:7582)","たいき","TAIKI","広尾(cid:13446)大(cid:7582)町柏木町"
"北海道","十勝","20751","広尾","ひろお","HIRO-O","広尾(cid:13446)広尾町並木(cid:13307)東　広尾特別地域気象観測所"
"北海道","胆振","21111","厚(cid:9535)","あつま","ATSUMA","勇払(cid:13446)厚(cid:9535)町朝日"
"北海道","胆振","21126","(cid:10001)別","ほべつ","HOBETSU","勇払(cid:13446)むかわ町(cid:10001)別"
"北海道","胆振","21161","大(cid:8298)","おおたき","OTAKI","伊(cid:13353)市大(cid:8298)区本町"
"北海道","胆振","21171","森野","もりの","MORINO","(cid:9425)(cid:10881)(cid:13446)(cid:9425)(cid:10881)町森野"
"北海道","胆振","21187","(cid:11362)小(cid:8766)","とまこまい","TOMAKOMAI","(cid:11362)小(cid:8766)市しらかば町　(cid:11362)小(cid:8766)特別地域気象観測所"
"北海道","胆振","21226","大岸","おおきし","OKISHI","(cid:11905)田(cid:13446)(cid:12751)(cid:8070)町大岸"
"北海道","胆振","21261","(cid:9425)(cid:10881)","しらおい","SHIRAOI","(cid:9425)(cid:10881)(cid:13446)(cid:9425)(cid:10881)町高(cid:9665)町"
"北海道","胆振","21276","(cid:15169)川","むかわ","MUKAWA","勇払(cid:13446)むかわ町(cid:12751)城"
"北海道","胆振","21297","伊(cid:13353)","だて","DATE","伊(cid:13353)市(cid:14603)山下町"
"北海道","胆振","21312","(cid:9423)別","のぼりべつ","NOBORIBETSU","(cid:9423)別市札内町"
"北海道","胆振","21323","室(cid:11858)","むろらん","MURORAN","室(cid:11858)市山手町　室(cid:11858)地方気象台"
"北海道","日高","22036","日高","ひだか","HIDAKA","(cid:7947)(cid:8054)(cid:13446)日高町本町東"
"北海道","日高","22141","日高(cid:14043)別","ひだかもんべつ","HIDAKA-MOMBETSU","(cid:7947)(cid:8054)(cid:13446)日高町字富(cid:8062)"
"北海道","日高","22156","新和","しんわ","SHINWA","新冠(cid:13446)新冠町新和"
"北海道","日高","22241","静内","しずない","SHIZUNAI","日高(cid:13446)新ひだか町静内山手町"
"北海道","日高","22291","三石","みついし","MITSUISHI","日高(cid:13446)新ひだか町三石(cid:10814)野和"
"北海道","日高","22306","中杵(cid:11195)","なかきねうす","NAKAKINEUSU","(cid:8070)(cid:7961)(cid:13446)(cid:8070)(cid:7961)町上杵(cid:11195)"
"北海道","日高","22327","(cid:8070)(cid:7961)","うらかわ","URAKAWA","(cid:8070)(cid:7961)(cid:13446)(cid:8070)(cid:7961)町(cid:8379)(cid:12386)町　(cid:8070)(cid:7961)特別地域気象観測所"
"北海道","日高","22391","えりも岬","えりもみさき","ERIMOMISAKI","幌(cid:7976)(cid:13446)えりも町東(cid:8018)"
"北海道","渡島","23031","長万(cid:13450)","おしゃまんべ","OSHAMAMBE","山(cid:12922)(cid:13446)長万(cid:13450)町(cid:7204)原"
"北海道","渡島","23086","八(cid:14268)","やくも","YAKUMO","二海(cid:13446)八(cid:14268)町本町"
"北海道","渡島","23166","森","もり","MORI","(cid:11380)(cid:13450)(cid:13446)森町姫川"
"北海道","渡島","23206","川(cid:7918)","かっくみ","KAKKUMI","函(cid:14603)市川(cid:7918)町"
"北海道","渡島","23226","北斗","ほくと","HOKUTO","北斗市本町"
"北海道","渡島","23232","函(cid:14603)","はこだて","HAKODATE","函(cid:14603)市(cid:10814)原　函(cid:14603)地方気象台"
"北海道","渡島","23326","木古内","きこない","KIKONAI","上(cid:9790)(cid:13446)木古内町字本町"
"北海道","渡島","23376","松前","まつまえ","MATSUMAE","松前(cid:13446)松前町建石"
"北海道","渡島","24141","熊石","くまいし","KUMAISHI","二海(cid:13446)八(cid:14268)町熊石根崎町"
"北海道","檜山","24041","せたな","せたな","SETANA","久(cid:13362)(cid:13446)せたな町(cid:8489)(cid:7348)区本町"
"北海道","檜山","24051","今(cid:13600)","いまかね","IMAKANE","(cid:8489)(cid:7348)(cid:13446)今(cid:13600)町今(cid:13600)"
"北海道","檜山","24101","奥尻","おくしり","OKUSHIRI","奥尻(cid:13446)奥尻町字(cid:9988)(cid:10001)"
"北海道","檜山","24201","(cid:15192)","うずら","UZURA","檜山(cid:13446)厚(cid:7953)(cid:13450)町(cid:15192)町"
"北海道","檜山","24217","(cid:7908)差","えさし","ESASHI","檜山(cid:13446)(cid:7908)差町姥神町　(cid:7908)差特別地域気象観測所"
"東北","青森","31001","大(cid:14059)","おおま","OMA","下北(cid:13446)大(cid:14059)町大(cid:14059)字(cid:8843)丁"
"東北","青森","31111","むつ","むつ","MUTSU","むつ市(cid:13600)曲　むつ特別地域気象観測所"
"東北","青森","31121","小田野(cid:7953)","おだのさわ","ODANOSAWA","下北(cid:13446)東(cid:13307)村小田野(cid:7953)字中川(cid:9504)"
"東北","青森","31136","今別","いまべつ","IMABETSU","東(cid:8032)(cid:13133)(cid:13446)今別町今別字中(cid:7953)"
"東北","青森","31156","(cid:11045)野(cid:7953)","わきのさわ","WAKINOSAWA","むつ市(cid:11045)野(cid:7953)(cid:7239)(cid:7953)"
"東北","青森","31186","市(cid:8070)","しうら","SHIURA","五所川原市(cid:9510)内"
"東北","青森","31201","(cid:12131)田","かにた","KANITA","東(cid:8032)(cid:13133)(cid:13446)外ヶ(cid:8062)町字(cid:12131)田(cid:15021)ケ(cid:8161)"
"東北","青森","31296","五所川原","ごしょがわら","GOSHOGAWARA","五所川原市松島町"
"東北","青森","31312","青森","あおもり","AOMORI","青森市(cid:11324)園　青森地方気象台"
"東北","青森","31332","野(cid:13238)地","のへじ","NOHEJI","上北(cid:13446)野(cid:13238)地町有戸鳥井平"
"東北","青森","31336","六ケ所","ろっかしょ","ROKKASHO","上北(cid:13446)六ケ所村倉内字(cid:10162)崎"
"東北","青森","31366","(cid:15055)ケ(cid:7953)","あじがさわ","AJIGASAWA","(cid:12377)(cid:8032)(cid:13133)(cid:13446)(cid:15055)ケ(cid:7953)町(cid:11225)戸町字小夜"
"東北","青森","31436","(cid:8157)(cid:8070)","ふかうら","FUKAURA","(cid:12377)(cid:8032)(cid:13133)(cid:13446)(cid:8157)(cid:8070)町大字(cid:8157)(cid:8070)字岡町　(cid:8157)(cid:8070)特別地域気象観測所"
"東北","青森","31461","弘前","ひろさき","HIROSAKI","弘前市和田町"
"東北","青森","31466","(cid:15342)石","くろいし","KUROISHI","(cid:15342)石市馬場尻南"
